subject_id,adultx,childx,hardscl,p1_age,p1_gender,p1_rel,p2_age,p2_gender,p2_rel,p3_age,p3_gender,p3_rel,p4_age,p4_gender,p4_rel,p5_age,p5_gender,p5_rel,p6_age,p6_gender,p6_rel,p7_age,p7_gender,p7_rel,p8_age,p8_gender,p8_rel,p9_age,p9_gender,p9_rel,personx,problems,qa1,qa8,qa8x,qa9,qa9a,qa9x,qa10,qa10x,qa11,qb1,qb2,qb3,qb6,qc1,qc2,qc3,qc4x,qc4,qc5_1,qc5_2,qc5_3,qc5_4,qc5_5,qc5_6,qc5_7,qc5_8,qc5_9,qc5_10,qc5_11,qc5_12,qc5_12x,qc6,qd1,qd2,qd3,qd4,qd5,qd6,qd7x,qd7,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qg1,qg2,qg2x,qg3,qg4,qg4x,qh1,qh2a,qh2b,qh3,qh4a,qh4b,qh5_1,qh5_2,qh5_3,qh5_4,qh5_5,qh5_6,qh5_7,qh5_8,qh5_9,qh5_10,qh6_1,qh6_2,qh6_3,qh6_4,qh6_5,qh6_6,qh6_7,qh7,qh7a,qh7b,qh9,qh10,qh10f,qh10x,qh18,qh18x,qi1,qi2_asian,qi2_black,qi2_hpa,qi2_natam,qi2_oth,qi2_white,qi3,qi3x,qi4,qi4x,qi5,qi6,qi6a,qi6b,qi8,qi9,qi10,r_age,r_gender,sppart,female,qh19f,qh19x,qb5_6x,qi2_othx,qa1x,qb5_1,qb5_2,qb5_3,qb5_4,qb5_5,qb5_6,qh6_1x_tc,qh6_2x_tc,qh6_3x_tc,qh6_4x_tc,qh6_5x_tc,qh6_6x_tc,qh6_7x_tc,OPM_incneeds_tc,SPM_incneeds_tc,imp_earnhd_tc,imp_earnsp_tc,imp_incret_tc,imp_incdis_tc,imp_incwelf_tc,imp_incui_tc,imp_incsnap_tc,imp_increg_tc,imp_incoth_tc,imp_incothhh_tc,qh1x_tc,qh3x_tc,qh7x_tc,spmpov_tc,opmpov_tc,sevhealth,qweight_p,qweight_pu
1,1,1,2,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1200,1,0,1200,,,1,2,2,1,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,2,7,1,1,3,3,0,0,0,0,0,0,2,1,1,12,,,,99,,8,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,0,,,,1,3000,1,0,0,0,0,1,0,1,,,,7,1,35,,1,,,35,2,0,1,2,300,,Puerto Rican,,,,,,,,,,,,,,,5.2393527,2.5604799,82912.758,0,0,0,0,0,0,0,0,0,,,0,0,0,0,984.4654261253168,1011.660533481618
2,5,4,2,64,2,1,12,1,5,10,1,5,7,2,5,5,2,5,29,1,9,20,1,9,35,2,9,,,,9,0,2,,,,,,1,0,6,3,3,1,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,,0,0,3,7,1,1,3,3,0,0,0,0,0,0,2,1,1,10,1,1,12,1,,,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,1,5000,0,0,0,0,0,0,1,6,Romania,1,1964,5,1,5,,0,1,,61,1,1,0,3,1000,,,,,,,,,,,,,,,,,3.4830635,2.8375895,100,52,0,0,0,0,0,0,0,170197.67,100,52,250000,0,0,0,1478.19834048075,379.5868171681792
3,1,0,2,55,2,17,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1500,1,0,1500,,,1,3,2,1,,0,,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,5,3,0,,0,0,1,5,1,2,2,2,0,0,0,0,0,0,2,1,1,12,,,,1,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,98,5,,,,,,1,0,0,0,1,0,0,0,0,1,,,,6,1,48,,0,1,1,48,1,0,0,2,100,,,,,,,,,,,,,,,,,2.092926,1.3459984,25000,0,0,0,0,0,0,0,0,0,25000,,,0,0,0,1357.848858993706,697.5079059155349
4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,1000,3,3,2,1,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,5,1,,0,1,2,3,1,1,3,3,0,0,0,0,0,0,3,0,2,,,,,,,,,,,1,0,0,0,0,0,0,1,0,1,1,,,,,,97,,,,,,,,1,1000,0,0,1,0,0,0,0,1,,,,8,1,6,,0,0,,79,2,0,1,,,,,,,,,,,,,,,,,,,8.0143862,5.830997,0,0,50,0,0,0,0,0,88196.406,0,,,,0,0,2,849.7806878406475,873.2552319148814
5,2,3,3,38,2,1,10,1,3,5,2,3,2,1,3,,,,,,,,,,,,,,,,5,2,1,1,1300,1,0,1325,,,2,3,3,1,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,1,1,1,2,1,3,2,1,1,0,0,1,1,1,1,1,1,7,0,1,2,1,,,1,,,0,0,1,0,1,1,1,1,0,0,,,97,,1,,,1,,,1,98,98,,1,600,0,0,0,0,0,1,0,6,Egypt,1,1995,3,1,16,,1,,0,42,1,1,0,1,80,friend watches older dchild,Arabic,,1,0,1,0,0,1,,,,,0,,,.78467155,1.1148645,10000,1500,0,0,10968.122,0,9257.4473,0,0,0,10000,1500,0,0,1,1,952.4611318794548,489.2147788051984
6,2,1,2,42,2,13,15,1,3,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1550,1,1,1550,,,2,3,1,0,1,0,,0,,,1,1,0,1,1,1,0,0,0,0,0,0,,5,2,0,0,0,0,2,7,1,1,3,2,0,0,0,0,0,0,2,1,1,12,,,,98,2,,,,,0,0,0,0,0,0,1,1,0,0,,,,,,,,1,,,0,,,,1,3,0,0,0,0,0,1,0,1,,,,3,1,20,,1,,,20,1,0,0,3,500,,Indian Cherokee/African American,,,,,,,,,,,,,,,.93199807,.75524849,7223.3252,0,0,0,0,0,0,0,0,10000,,,10000,1,1,0,2934.39372866747,1507.72705988913
7,2,0,1,50,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1000,1,1,1000,,,2,2,1,1,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,,0,0,4,8,1,1,3,3,0,0,0,0,0,0,3,0,2,,0,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,1,500,0,0,1,0,0,0,0,1,,,,8,1,55,,1,,,55,1,1,0,,,,,,,,,,,,,,,,,,,0,.22827975,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,1625.551445237739,835.2280327220404
8,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,584,1,1,584,,,1,1,1,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,,0,0,4,8,1,1,2,3,0,0,0,0,0,0,2,0,2,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,1,25,0,0,0,0,0,0,1,6,Romania,1,1966,1,1,45,,0,0,,75,2,0,1,,,,,,,,,,,,11004,,,,,,,.99936426,1.3394049,0,0,11004,0,0,0,0,0,0,0,,,,0,1,2,4798.97724655399,4931.545336765287
9,2,0,1,46,1,9,,,,,,,,,,,,,,,,,,,,,,,,,2,1,9,,,,,,,,,2,3,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,4,1,,0,0,3,8,1,1,3,3,0,0,0,0,0,0,3,0,2,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,1,1,,,,,,1,,,,,,,98,,0,0,1,0,0,0,0,1,,,,3,1,63,,0,,,63,2,0,1,,,,,LIves in co-op,,,,,,,24000,14400,,,,,,4.1238456,3.4812016,0,0,24000,14400,0,0,0,0,0,25000,,,25000,0,0,2,2112.950176357012,1085.659407586606
10,2,1,1,35,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,4500,1,0,4500,,,2,1,1,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,4,9,1,1,3,3,0,0,0,0,0,0,3,1,1,12,1,1,12,1,,,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,1,1,1,185,1,4800,0,1,0,0,0,0,0,6,Canada,1,1998,7,1,15,,1,,1,35,2,1,1,2,200,Nanny,,,0,0,0,0,0,1,,,,,,,,14.339827,5.2568073,30000,235000,0,0,0,0,0,0,0,0,30000,300000,0,0,0,0,2201.628741663255,1131.223529141993
