subject_id,q5a1,q5a2,q5a3_1,q5a3_2,q5a3_3,q5a3_4,q5a3_5,q5a3_6,q5a3_7,q5a3_8,q5a4_1,q5a4_2,q5a4_3,q5a4_4,q5a4_5,q5a4_6,q5a4_7,q5a4_8,q5a4_9,q5a4_10,q5a4_11,q5a5,q5a6,q5a7,q5a7x,q5a8,q5a9,q5a10,q5a11,q5a12,q5a14,q5b1,q5b2,q5b2x,q5b3,q5b3x,q5b4,q5b5,q5b5x,q5b6,q5b6x,q5c1,q5c1a,q5c1x,q5c2,q5c2a,q5c2x,q5c3,q5c3a,q5c3x,q5c4,q5c4a,q5c4x,q5c5,q5c5a,q5c5x,q5c6,q5c6a,q5c6x,q5c7,q5c7a,q5c7x,q5c8,q5c8a,q5c8x,q5c9,q5c9a,q5c9x,q5c10,q5c10a,q5c10x,q5c11,q5c11a,q5c11x,q5c12,q5c12a,q5c12x,q5c13,q5c13a,q5c13x,q5c14,q5c14a,q5c14x,q5c15,q5c15a,q5c15x,q5c16,q5c16a,q5c16x,q5c17,q5c17a,q5c17x,q5c18,q5c18a,q5c18x,q5c19,q5c19a,q5c19x,q5c20,q5c20a,q5c20x,q5c21,q5c21a,q5c21x,q5c22,q5c22a,q5c22x,q5c23,q5c23a,q5c23x,q5c24,q5c24a,q5c24x,q5c25_1,q5c25_1a,q5c25_1x,q5c25_2,q5c25_2a,q5c25_2x,q5c25_3,q5c25_3a,q5c25_3x,q5c25_4,q5c25_4a,q5c25_4x,q5c25_5,q5c25_5a,q5c25_5x
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,Illness of grandma,3,0,0,0,3,2,,1,,,,1,,,1,3000,2,,400,2,,200,4,,,2,,100,2,,100,2,,150,2,,25,2,,300,2,,200,4,,,4,,,4,,,2,,150,4,,,4,,,4,,,2,,200,4,,,2,,100,4,,,4,,,2,,150,4,,,2,,700,,,,,,,,,,,,,,,
2,1,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0,0,0,0,,0,,,3,0,0,0,2,97,,,,,,,,,,,1,,200,4,,,3,,200,3,,4900,3,,500,3,,350,2,,500,2,,250,4,,,2,,150,3,,200,4,,,3,,1500,4,,,,,,,,,2,,1000,4,,,1,,50,4,,,4,,,2,,50,2,,50,2,,500,,,,,,,,,,,,,,,
3,1,0,0,0,0,0,0,0,,,1,1,0,0,1,0,1,0,0,1,0,1,0,,,2,0,1,0,2,4,,,,,,,,,1,2000,2,,300,2,,40,4,,,98,98,,2,,20,2,,50,4,,,2,,100,2,,100,4,,,2,,100,2,,300,2,,55,4,,,,,,,,,3,,1000,4,,,2,,20,4,,,2,,100,2,,60,4,,,4,,,,,,,,,,,,,,,,,
4,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,1,1,"house inundated with fiber dust glass. city isn't helping. she needs to replace ducts, ongoing problem for over a year.",1,0,0,0,2,5,1,,,1,30000,,,,,,1,,25,4,,,4,,,3,,55,1,,25,2,,10,2,,400,2,,85,2,,85,3,,1900,4,,,4,,,2,,50,4,,,,,,,,,3,,17500,4,,,4,,,4,,,4,,,4,,,2,,30,4,,,,,,,,,,,,,,,,,
5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,,,1,0,1,1,1,2,,,,,,,,,,,2,,1500,2,,200,4,,,3,,3000,3,,2000,3,,1000,2,,150,2,,100,2,,50,4,,,3,,1000,3,,500,3,,3000,4,,,4,,,2,,200,4,,,4,,,3,,500,3,,3000,4,,,2,,100,2,,100,1,,50,3,"PARKING TICKETS ""CAR TICKETS""",3000,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,4,,,,,,,,,1,1110,2,,400,3,,20,4,,,3,,200,3,,100,3,,200,2,,175,2,,110,4,,,4,,,4,,,4,,,3,,100,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,3,,100,4,,,4,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,1,,,1,6500,,,,,,1,,150,1,,20,2,,50,3,,1500,2,,75,3,,500,2,,350,2,,150,2,,125,2,,250,3,,2000,4,,,2,,300,4,,,2,,30,2,,1500,4,,,4,,,3,,2400,3,,5000,4,,,2,,250,4,,,2,,150,,,,,,,,,,,,,,,
