subject_id,q3a1,q3a2,q3a3_1,q3a3_2,q3a3_3,q3a3_4,q3a3_5,q3a3_6,q3a3_7,q3a3_8,q3a4_1,q3a4_2,q3a4_3,q3a4_4,q3a4_5,q3a4_6,q3a4_7,q3a4_8,q3a4_9,q3a4_10,q3a4_11,q3a5,q3a6,q3a7,q3a7_1x,q3a7_2x,q3a7_3x,q3a7_4x,q3a8,q3a9,q3a10,q3a11,q3a12,q3a13,q3b1,q3b2,q3b2x,q3b3,q3b3x,q3b4,q3b5,q3b6,q3b6a,q3b6x,q3b7,q3b8,q3b8x,q3b9,q3b10,q3b11_1,q3b11_1x,q3b11_2,q3b11_2x,q3b11_3,q3b11_3x,q3b12_1,q3b12_1x,q3b12_2,q3b12_2x,q3b12_3,q3b12_3x,q3b13,q3b14,q3b14x,q3b15,q3b16,q3b17,q3b17x,q3b18,q3b19,q3b20,q3b20x,q3b21,q3b22,q3b23,q3b23x,q3b24,q3b25,q3b26,q3b26x,q3b27,q3b28,q3b29,q3b29x,q3b30,q3b31,q3b32,q3b32x,q3b33,q3b34,q3b35,q3b35x,q3b36,q3b36x,q3b37,q3c1,q3c2,q3c3,q3c3x,q3c4,q3c5,q3c6,q3c6x,q3c7,q3c8,q3c9,q3c9x,q3c10,q3c11,q3c12,q3c12x,q3c13,q3c13x,q3c14,q3c15,q3c16,q3d1,q3d2,q3d3,q3newyork,q3weight_p,q3weight_pu
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,0,0,,0,,,,,,3,0,0,0,3,1,2,1,1976,1,45000,,1,1,,100000,0,,,,1,1,2012,97,,97,,1,lexus 4300,97,,97,,1,1,20000,,0,,,,1,98,,5,0,,,,1,1,150000,,1,1,100000,,0,,,,1,1,jewlrey,1,5000,,1,1,,,,0,,,,0,,,,2,,,,,,0,0,0,98,0,1,2278.3076,1708
3,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2,0,0,0,1,3,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,98,,9,0,,,,0,,,,,,0,,,,,0,,,,0,,,,2,,,,,,0,0,0,0,0,1,2259.305034,3388
4,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,5,2,1,1991,1,200000,,1,1,,100000,1,1,80000,,0,,,,,,,,,,,,,1,1,3000,,0,,,,0,,,,0,,,,1,98,,9,0,,,,0,,,,0,,,,,,1,2,1,4000,,1,98,,6,0,,,,2,,,,,,1,0,0,0,0,1,1094.481102,3283
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,4,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,17000,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,jewlrey,1,900,,1,1,,,,0,,,,0,,,,2,,,,,,0,0,0,0,98,1,13503.48981,40505
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,1,2,1,2013,1,1385000,,0,,,,1,1,1000000,,1,1,2009,97,,97,,1,Acura MDX,97,,97,,1,1,750000,,0,,,,1,1,800000,,1,1,100000,,1,1,300000,,1,98,,3,0,,,,1,1,"Jewelry, furniture, artwork",1,60000,,1,1,,,,0,,,,0,,,,2,,,,,,0,0,0,0,0,0,4984.672993,7476
