imp_age,imp_educat,imp_female,imp_race,sevhard,sevhealthd,spmpov,spmres
35,4,1,5. Hispanic,0,0,0,55974.609
61,3,0,1. White Non-Hispanic,0,0,0,245598.83
48,3,0,2. Black Non-Hispanic,0,0,0,19499.5
79,4,1,2. Black Non-Hispanic,0,1,0,99050
42,2,0,4. Other / MultiRacial,1,0,0,39139.457
20,2,0,4. Other / MultiRacial,0,0,1,20779.104
55,4,0,2. Black Non-Hispanic,0,0,1,4663
75,1,1,1. White Non-Hispanic,0,1,0,19403.98
63,2,1,2. Black Non-Hispanic,0,1,0,71109.43
35,4,1,3. Asian Non-Hispanic,0,0,0,209630.2
32,4,0,1. White Non-Hispanic,0,0,0,69842.977
54,4,1,2. Black Non-Hispanic,1,0,0,66820.141
30,1,1,5. Hispanic,1,0,0,40704.629
22,4,0,2. Black Non-Hispanic,0,0,0,53881.758
48,2,0,5. Hispanic,1,0,1,1347.9449
38,2,1,5. Hispanic,1,0,0,41400.48
42,2,1,5. Hispanic,0,0,0,48070.484
34,4,1,1. White Non-Hispanic,1,0,0,42891.051
57,4,1,1. White Non-Hispanic,0,0,1,0
31,4,0,1. White Non-Hispanic,1,0,0,66024.422
46,4,1,1. White Non-Hispanic,0,0,0,88439.008
55,2,1,2. Black Non-Hispanic,0,0,0,34598.727
64,4,0,2. Black Non-Hispanic,1,0,0,31180
58,4,1,1. White Non-Hispanic,0,0,0,166647.19
36,3,1,2. Black Non-Hispanic,1,0,1,20496.949
50,2,0,1. White Non-Hispanic,0,0,0,83416.695
42,1,1,5. Hispanic,1,0,0,28849.537
22,3,1,2. Black Non-Hispanic,1,0,0,72174.07
51,4,1,4. Other / MultiRacial,1,1,0,41264.25
77,1,0,2. Black Non-Hispanic,0,0,1,6221.9409
81,3,1,1. White Non-Hispanic,1,1,0,90520
47,4,0,1. White Non-Hispanic,0,0,1,13181.82
53,4,1,2. Black Non-Hispanic,1,0,0,59859.055
78,3,1,2. Black Non-Hispanic,0,1,0,14100
18,1,0,4. Other / MultiRacial,1,0,0,104400.34
30,2,1,3. Asian Non-Hispanic,0,0,1,16067.592
49.30335299,4,0,1. White Non-Hispanic,0,0,1,7880.6431
59,4,1,1. White Non-Hispanic,0,0,0,72691.5
61,3,0,2. Black Non-Hispanic,0,0,0,160974.75
42,4,1,2. Black Non-Hispanic,0,0,0,94583.797
58,4,1,1. White Non-Hispanic,1,0,0,251091.34
21,3,0,2. Black Non-Hispanic,0,0,1,14250.321
42,4,1,2. Black Non-Hispanic,0,0,0,238527.25
68,4,1,2. Black Non-Hispanic,0,0,0,60055.012
23,3,0,2. Black Non-Hispanic,1,0,1,50254.93
56,4,1,1. White Non-Hispanic,0,0,0,236918.13
70,4,1,1. White Non-Hispanic,1,0,0,134090
77,2,1,1. White Non-Hispanic,0,1,0,37506.086
57,2,0,4. Other / MultiRacial,1,0,0,23960.039
30,2,1,4. Other / MultiRacial,1,1,0,47142.57
43,1,0,2. Black Non-Hispanic,0,0,1,33038.945
70,3,1,2. Black Non-Hispanic,1,1,1,11773.757
49,1,1,5. Hispanic,1,0,1,16157.977
69,2,1,1. White Non-Hispanic,1,0,0,156605.98
83,4,0,4. Other / MultiRacial,0,1,0,116422.3
51,1,1,2. Black Non-Hispanic,1,0,0,36161.93
30,2,1,2. Black Non-Hispanic,0,0,0,48939.762
42,4,0,1. White Non-Hispanic,0,0,0,210591.27
23,4,0,3. Asian Non-Hispanic,0,0,0,145317.73
51,4,1,5. Hispanic,1,0,1,0
38,4,1,1. White Non-Hispanic,0,0,0,173140.52
29,4,0,3. Asian Non-Hispanic,0,0,0,68838.5
48,4,1,1. White Non-Hispanic,0,1,0,50983.578
18,1,0,2. Black Non-Hispanic,0,0,0,69443.586
33,3,0,5. Hispanic,1,0,0,44958.719
34,3,0,4. Other / MultiRacial,1,0,0,81979.375
35,4,0,3. Asian Non-Hispanic,0,0,0,60965.766
