imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,r_age,sevhard,sevhealthd,spmpov,spmres
0,4,0,0,0,0,1. White Non-Hispanic,47,0,0,0,207400
1,4,0,0,0,0,2. Black Non-Hispanic,41,1,0,0,30914.5
0,1,1,1,1,0,2. Black Non-Hispanic,51,1,0,0,36161.93
0,2,1,0,0,0,2. Black Non-Hispanic,54,1,1,0,27907.416
0,4,1,0,0,0,1. White Non-Hispanic,74,0,0,0,40618.738
0,2,0,0,0,0,1. White Non-Hispanic,88,0,0,1,4800
0,3,0,0,0,0,1. White Non-Hispanic,59,1,1,0,18853.523
1,3,1,1,0,0,2. Black Non-Hispanic,36,1,0,1,20496.949
0,3,1,0,0,0,2. Black Non-Hispanic,63,0,1,0,14970.403
0,4,1,0,0,0,1. White Non-Hispanic,54,0,0,0,105200
0,3,1,0,0,0,2. Black Non-Hispanic,61,0,0,0,35656.5
0,2,0,0,0,0,2. Black Non-Hispanic,36,0,0,0,103990.41
0,4,1,0,0,0,1. White Non-Hispanic,35,0,0,0,114974.95
0,3,1,0,1,0,1. White Non-Hispanic,43,1,1,0,89796.641
0,3,1,1,1,0,5. Hispanic,19,1,1,1,23715.277
0,2,1,1,0,0,2. Black Non-Hispanic,90,1,1,0,207400
1,4,1,1,0,0,5. Hispanic,25,1,1,1,29754.949
0,4,1,0,0,0,4. Other / MultiRacial,84,0,0,0,78120.68
0,1,0,1,0,0,5. Hispanic,59,1,1,0,20785.242
0,4,1,0,0,0,1. White Non-Hispanic,32,0,0,0,146592.78
0,4,1,0,0,0,5. Hispanic,52,0,1,0,115437.88
0,2,1,0,0,0,4. Other / MultiRacial,80,0,0,0,24888.338
0,4,0,0,0,0,5. Hispanic,55,0,0,0,103918.25
0,2,0,0,0,0,2. Black Non-Hispanic,20,0,0,1,13042.397
0,2,1,0,0,0,1. White Non-Hispanic,87,0,0,1,11919.079
0,4,0,0,0,0,1. White Non-Hispanic,77,0,1,0,83623.117
0,4,1,0,0,0,1. White Non-Hispanic,53,0,1,0,101836.33
0,4,0,0,0,0,5. Hispanic,20,0,0,0,191503.25
0,2,1,0,0,0,2. Black Non-Hispanic,19,1,0,1,3368.6206
0,4,0,0,0,0,5. Hispanic,49,0,0,0,48102.5
0,4,0,0,0,0,2. Black Non-Hispanic,81,0,0,0,97687.984
0,4,0,0,0,0,1. White Non-Hispanic,62,0,0,0,150983.02
0,3,1,0,0,0,1. White Non-Hispanic,84,0,0,1,8000.5967
0,3,1,1,1,0,2. Black Non-Hispanic,68,1,1,0,32916.07
0,2,0,0,0,0,1. White Non-Hispanic,67,0,0,0,119522.5
0,3,0,0,0,0,2. Black Non-Hispanic,25,0,0,0,207400
0,4,0,0,0,0,1. White Non-Hispanic,77,0,0,0,74377.75
0,2,1,0,0,0,2. Black Non-Hispanic,59,0,0,0,124710.33
0,1,1,0,0,0,5. Hispanic,30,0,0,0,52583.301
0,4,0,0,0,0,1. White Non-Hispanic,44,0,0,0,64088.25
0,4,1,1,0,0,1. White Non-Hispanic,68,1,0,0,21900
0,4,0,0,0,0,4. Other / MultiRacial,55,0,1,0,98335.563
0,4,0,0,0,0,3. Asian Non-Hispanic,25,0,0,0,75298.977
1,2,1,1,1,0,5. Hispanic,38,1,0,0,26058.959
0,4,0,0,0,0,2. Black Non-Hispanic,44,0,0,0,49377.25
0,4,0,0,0,0,1. White Non-Hispanic,61,0,0,0,41056.293
0,3,1,0,0,0,1. White Non-Hispanic,66,0,0,1,4300
0,2,0,0,0,0,1. White Non-Hispanic,85,0,1,0,21121.23
0,3,1,1,1,0,5. Hispanic,18,1,0,0,42676.566
0,3,1,0,1,0,2. Black Non-Hispanic,52,1,1,1,0
1,2,0,0,1,0,2. Black Non-Hispanic,59,1,1,0,60935.867
0,3,1,0,0,0,2. Black Non-Hispanic,74,0,1,0,21945.994
0,2,1,0,0,0,2. Black Non-Hispanic,70,0,0,0,162871.48
