Age,Household_Resources
47,207400
41,30914.5
51,36161.93
54,27907.416
74,40618.738
88,4800
59,18853.523
36,20496.949
63,14970.403
54,105200
61,35656.5
36,103990.41
35,114974.95
43,89796.641
19,23715.277
90,207400
25,29754.949
84,78120.68
59,20785.242
32,146592.78
52,115437.88
80,24888.338
55,103918.25
20,13042.397
87,11919.079
77,83623.117
53,101836.33
20,191503.25
19,3368.6206
49,48102.5
81,97687.984
62,150983.02
84,8000.5967
68,32916.07
67,119522.5
25,207400
77,74377.75
59,124710.33
30,52583.301
44,64088.25
68,21900
55,98335.563
25,75298.977
38,26058.959
44,49377.25
61,41056.293
66,4300
85,21121.23
18,42676.566
52,0
59,60935.867
74,21945.994
70,162871.48
85,179582.45
40,197789.59
60,27275.043
75,25994.229
22,78704.719
41,207400
70,-23986.656
68,28148.766
42,97537.383
57,49652.25
41,138768.59
80,8246.2305
31,115928.72
72,79066.641
72,87516.094
85,207400
51,21839.939
27,136354.09
29,34386.258
58,77500.711
37,59878
54,10867.73
20,128178.61
35,55511.293
,14059.249
38,173140.52
33,61024.18
57,61201.648
73,13051.109
69,93327.297
48,59169.25
64,23087.041
29,107014.25
60,29029.598
51,14661.793
49,167547.3
70,105155.49
52,42148.25
42,35450.25
56,207400
53,100384.1
39,47282.859
46,0
56,102847.08
49,42816.973
32,88565.875
51,207400
59,20000
65,35056.75
47,131622.75
80,162221.44
59,-1180.02
77,17669.98
32,59510.199
,7880.6431
22,17565.096
64,31180
27,59172.652
20,143467.14
47,79147.406
50,158921.59
51,36905.719
58,12952.5
75,46068.934
42,81440.586
65,167267.98
68,20663.27
50,12111.721
81,17653.043
49,126714.95
75,207400
64,13092.414
78,101517.52
34,55484.148
52,125306.25
58,41815.25
79,103302.18
38,1300.1749
82,26000
22,98064.555
54,20185
62,79665.586
83,207400
65,24448.029
33,167688.23
60,77579.688
38,116149.14
46,12181.449
60,83511.453
18,207400
49,48073.25
73,207400
59,91444.023
78,207400
69,-545
66,207400
43,5805
39,22835.6
50,37547.293
45,43246.945
81,90520
53,187453.27
53,85306.102
37,69262.383
79,99050
33,112074.29
50,202924.81
60,207400
69,207400
72,144099.98
48,44550.027
57,149038.98
77,47453.07
70,43112.48
82,16499.799
64,52457.5
61,207400
39,153816.75
63,207400
28,13642.096
,75980.789
34,156819.64
83,6159.7803
,0
42,41110.25
69,207400
19,76631.117
65,17789.637
18,35097.16
64,105367.55
93,95786.289
60,74677.016
36,207400
64,83193.633
33,115578.66
87,81705.336
43,156356.47
,182337.7
34,148687.14
23,64566.957
20,20779.104
27,36454.652
23,138220.61
19,75018.055
45,37041.555
40,60371.848
55,77151.797
91,24361.197
28,9301.6279
75,19403.98
43,59776.789
60,73576.367
57,23960.039
59,31093.043
67,56037.48
,70468.984
55,81100.078
47,58754.008
23,32378.289
56,207400
67,9442.7734
41,112525.38
66,162522.98
65,207400
68,1314.439
20,35854.289
57,22932.674
30,24952.068
48,101053.25
50,28366.504
18,44393.59
57,122723.3
59,89121.5
47,174459.5
72,59710.75
58,11019.323
81,42500
27,5967.1499
38,20883.402
64,66258.898
22,128907.17
82,103544.16
64,26508.52
62,66214.148
55,34598.727
19,177580.34
46,9906.6006
62,28914.283
61,90068.25
72,88368.445
54,11202.48
50,52487.848
69,54964.551
22,13144.374
58,93103.766
38,41400.48
76,31726.43
31,35705.957
18,39194.832
82,8264.2881
82,24124.068
70,18221.1
27,157035.78
45,122862.91
50,21779.484
35,67134.75
57,73316.188
44,207400
78,8291.542
35,54728.25
49,59234.898
66,128917.9
80,21753.043
